ano_campeonato,data,horario,rodada,estadio,arbitro,publico,publico_max,time_man,time_vis,tecnico_man,tecnico_vis,colocacao_man,colocacao_vis,valor_equipe_titular_man,valor_equipe_titular_vis,idade_media_titular_man,idade_media_titular_vis,gols_man,gols_vis,gols_1_tempo_man,gols_1_tempo_vis,escanteios_man,escanteios_vis,faltas_man,faltas_vis,chutes_bola_parada_man,chutes_bola_parada_vis,defesas_man,defesas_vis,impedimentos_man,impedimentos_vis,chutes_man,chutes_vis,chutes_fora_man,chutes_fora_vis
2020,2020-12-03,12:30,24,Estádio Governador Plácido Castelo,Braulio da Silva Machado,0,60326,Fortaleza,Corinthians,Marcelo Chamusca,Vágner Mancini,9,11,7900000,35900000,29.6,29.8,0,0,0,0,3,4,12,15,15,11,5,5,2,0,13,9,5,3
2020,2020-12-05,08:00,24,Estádio Olímpico Nilton Santos,Anderson Daronco,0,46931,Botafogo,Flamengo,Felipe Lucena,Rogério Ceni,19,3,12350000,70550000,27.1,29.2,0,1,0,0,5,7,16,26,24,16,1,3,0,0,13,14,4,4
2020,2020-12-05,09:00,24,Estádio Urbano Caldeira,Flavio Rodrigues de Souza,0,20120,Santos FC,Palmeiras,Cuca,Abel Ferreira,6,4,36550000,49600000,26.1,27.3,2,2,1,0,8,7,14,16,16,12,3,3,2,0,15,11,8,3
2020,2020-12-05,10:00,24,Estádio Jornalista Mário Filho,Ramon Abatti,0,82238,Fluminense,Athletico-PR,Odair Hellmann,Paulo Autuori,8,12,17550000,21000000,27.9,26.6,3,1,1,1,15,2,16,18,17,15,0,9,2,0,27,5,8,2
2020,2020-12-05,10:00,24,Arena Fonte Nova,Jean Pierre Goncalves Lima,0,55000,EC Bahia,Ceará SC,Mano Menezes,Guto Ferreira,13,10,8480000,7350000,26.8,28.3,0,2,0,0,6,4,12,17,17,10,3,2,1,1,9,11,5,4
2020,2020-12-06,12:00,24,Estádio Major Antônio Couto Pereira,Jefferson Ferreira Moraes,0,37182,Coritiba FC,RB Bragantino,Rodrigo Santana,Maurício Barbieri,18,15,8650000,16800000,30.6,26.5,0,0,0,0,3,12,17,26,26,14,5,3,2,0,9,23,3,13
2020,2020-12-06,07:00,24,Arena do Grêmio,Raphael Claus,0,60540,Grêmio,Vasco da Gama,Renato Gaúcho,Ricardo Sá Pinto,7,17,43000000,20130000,30.4,27.0,4,0,1,0,5,3,9,8,8,8,3,5,1,1,22,6,9,2
2020,2020-12-06,08:00,24,Estádio Cícero Pompeu de Toledo,Felipe Fernandes,0,67428,São Paulo,Sport Recife,Fernando Diniz,Jair Ventura,1,16,28100000,5500000,27.9,28.0,1,0,1,0,11,1,17,16,15,16,0,6,0,3,13,4,4,4
2020,2020-12-06,09:15,24,Estádio Governador Magalhães Pinto,Bruno Arleu de Araújo,0,57000,Atlético-MG,Internacional,Jorge Sampaoli,Abel Braga,2,5,31100000,25250000,27.8,28.4,2,2,1,1,3,4,18,14,12,17,1,1,4,5,9,10,6,4
2020,2020-12-07,11:00,24,Estádio Antonio Accioly,Marcelo de Lima Henrique,0,13000,Atlético-GO,Goiás EC,Marcelo Cabo,Glauber Ramos,14,20,7800000,6330000,24.9,27.1,0,1,0,1,15,1,17,21,21,16,1,3,4,2,12,10,4,7
